------------------------------------
ArithmeticLogicUnitSystem Simulation Started
[PASS] Test No: 1, Component: OutA, Actual Value: 0x7777, Expected Value: 0x7777
[PASS] Test No: 0, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[FAIL] Test No: 0, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x0000
[FAIL] Test No: 0, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x0000
[FAIL] Test No: 0, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x0000
[FAIL] Test No: 0, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x0000
[PASS] Test No: 1, Component: PC, Actual Value: 0x000f, Expected Value: 0x000f
[FAIL] Test No: 1, Component: AR, Actual Value: 0xxxxx, Expected Value: 0x0000
[FAIL] Test No: 1, Component: SP, Actual Value: 0xxxxx, Expected Value: 0x0000
[PASS] Test No: 1, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[FAIL] Test No: 1, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x0000
[FAIL] Test No: 1, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x0000
[FAIL] Test No: 1, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x0000
[FAIL] Test No: 1, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x0000
------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 0, Component: PC, Actual Value: 0x0000, Expected Value: 0x0000
[FAIL] Test No: 0, Component: AR, Actual Value: 0xxxxx, Expected Value: 0x00Xx
[FAIL] Test No: 0, Component: SP, Actual Value: 0xxxxx, Expected Value: 0x00Xx
[PASS] Test No: 0, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[FAIL] Test No: 0, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x00XX
[FAIL] Test No: 0, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x00XX
[FAIL] Test No: 0, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x00XX
[FAIL] Test No: 0, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x00XX
[FAIL] Test No: 0, Component: Memory, Actual Value: 0x0d00, Expected Value: 0xffff
[PASS] Test No: 1, Component: PC, Actual Value: 0x000f, Expected Value: 0x000f
[FAIL] Test No: 1, Component: AR, Actual Value: 0xxxxx, Expected Value: 0x00Xx
[FAIL] Test No: 1, Component: SP, Actual Value: 0xxxxx, Expected Value: 0x00Xx
[PASS] Test No: 1, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[FAIL] Test No: 1, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x00XX
[FAIL] Test No: 1, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x00XX
[FAIL] Test No: 1, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x00XX
[FAIL] Test No: 1, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x00XX
[FAIL] Test No: 1, Component: Memory, Actual Value: 0x0d00, Expected Value: 0xffff
------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 0, Component: PC, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 0, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 0, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[FAIL] Test No: 0, Component: Memory, Actual Value: 0x0d00, Expected Value: 0xffff
[PASS] Test No: 1, Component: PC, Actual Value: 0x000f, Expected Value: 0x000f
[PASS] Test No: 1, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 1, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 1, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[FAIL] Test No: 1, Component: Memory, Actual Value: 0x0d00, Expected Value: 0xffff
------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 0, Component: PC, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 0, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 0, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[FAIL] Test No: 0, Component: Memory, Actual Value: 0x0d00, Expected Value: 0xffff
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 1, Component: PC, Actual Value: 0x000f, Expected Value: 0x000f
[PASS] Test No: 1, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 1, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 1, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[FAIL] Test No: 1, Component: Memory, Actual Value: 0x0d00, Expected Value: 0xffff
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 0, Component: PC, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 0, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 0, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[FAIL] Test No: 0, Component: Memory, Actual Value: 0x0d00, Expected Value: 0xffff
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 0, Component: PC, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 0, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 0, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[FAIL] Test No: 0, Component: Memory, Actual Value: 0x0d00, Expected Value: 0xffff
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 1, Component: PC, Actual Value: 0x000f, Expected Value: 0x000f
[PASS] Test No: 1, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 1, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 1, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[FAIL] Test No: 1, Component: Memory, Actual Value: 0x0d00, Expected Value: 0xffff
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 0, Component: PC, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 0, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 0, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Memory, Actual Value: 0x000d, Expected Value: 0x000d
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 1, Component: PC, Actual Value: 0x000f, Expected Value: 0x000f
[PASS] Test No: 1, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 1, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 1, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Memory, Actual Value: 0x000d, Expected Value: 0x000d
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 0, Component: PC, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 0, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 0, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 1, Component: PC, Actual Value: 0x000e, Expected Value: 0x000e
[PASS] Test No: 1, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 1, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 1, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[FAIL] Test No: 2, Component: PC, Actual Value: 0x00b0, Expected Value: 0x0010
[PASS] Test No: 2, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 2, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[FAIL] Test No: 2, Component: R1, Actual Value: 0x0000, Expected Value: 0x0002
[PASS] Test No: 2, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 2, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 2, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 2, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 2, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 2, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 2, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 2, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 0, Component: PC, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 0, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 0, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 1, Component: PC, Actual Value: 0x000e, Expected Value: 0x000e
[PASS] Test No: 1, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 1, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 1, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
